geoid,avgbrdist,medbrdist,stdbrdist,count,areasqft,countbldg,bldgareaft,pctcbbldg,dist_bldg_hght,avgbrdist_meters,avgbrdist_logtran
3.6061E+14,16.1213041,0,28.33987506,254337,186003,21,102337.5632,0.550193079,28.249002,4.913773491,355095.3534
3.6061E+14,16.51612173,0,28.32363595,441540,232002,29,144767.6492,0.623993109,32.368554,5.034113904,363791.7904
3.6061E+14,20.24320408,3.8494243,30.81216011,324541,132262,9,61297.23889,0.463453138,42.512395,6.170128604,445886.2423
3.6061E+14,20.9737525,4.022842202,31.84487176,348977,133502,5,60380.88704,0.452284513,55.432982,6.392799761,461977.642
3.6061E+14,14.62156345,0,26.67331533,290372,230939,25,137498.3695,0.595388261,20.383424,4.456652539,322061.3672
3.6061E+14,20.68784415,4.665055257,30.99784938,172349,103309,5,59381.77523,0.574797697,51.870958,6.305654896,455680.0915
3.6061E+14,17.06236464,0.625583087,28.59909851,325594,183951,22,102727.2467,0.558448971,28.478775,5.200608741,375823.5911
3.6061E+14,17.23775569,0.988102253,28.73717611,247229,133434,12,74780.8096,0.560432945,41.767805,5.254067933,379686.836
3.6061E+14,17.39381077,0.584726625,29.3833282,218139,132717,7,70708.42435,0.532775939,55.106695,5.301633522,383124.1779
3.6061E+14,12.02943825,0,25.66928856,319429,249837,6,140963.7048,0.564222692,50.249674,3.666572779,264966.0102
3.6061E+14,22.55438899,6.035351151,32.64043837,429426,265149,45,161540.1445,0.609242896,30.164663,6.874577764,496793.4776
3.6061E+14,12.16978492,0,25.98553118,126673,187954,17,65574.32057,0.348884943,31.105921,3.709350444,268057.3513
3.6061E+14,9.23996277,0,22.79643503,146747,184370,16,83248.09491,0.451527336,15.6341,2.816340652,203523.7239
3.6061E+14,10.59211479,0,24.7586467,66681,132076,31,66890.3381,0.506453391,9.864532,3.228476589,233306.8542
3.6061E+14,15.83350033,0,27.14527439,106384,100213,9,56052.0397,0.559329026,35.555485,4.826050899,348756.0533
3.6061E+14,12.30402757,0,24.86138041,217928,184239,8,93566.5555,0.50785423,30.511491,3.750267605,271014.2425
3.6061E+14,14.55122777,0,27.22918948,266249,231097,24,146105.8673,0.632227451,34.841052,4.435214224,320512.1207
3.6061E+14,16.13398949,0.273558733,28.11387168,279679,132671,4,68890.69072,0.519259602,36.706715,4.917639998,355374.7677
3.6061E+14,15.97613879,0,28.16424134,283208,136170,1,74243.22908,0.545224565,133.921261,4.869527103,351897.8746
3.6061E+14,19.91111833,1.754844375,31.67785016,305438,190009,7,105938.4234,0.55754424,75.110296,6.068908866,438571.5667
3.6061E+14,9.906405515,0,23.53916514,188498,132870,16,65275.80401,0.491275713,16.677333,3.019472401,218203.1022
3.6061E+14,10.88046331,0,23.98059773,174139,132260,28,68340.0599,0.516709964,24.906985,3.316365216,239658.1529
3.6061E+14,14.07000495,0,27.11989923,473095,245391,13,166799.7443,0.679730488,44.614039,4.28853751,309912.4829
3.6061E+14,12.42180024,0,25.19443882,168266,188317,26,79046.88121,0.419754357,18.202369,3.786164714,273608.3582
3.6061E+14,22.00350908,5.030291792,32.17302324,381681,234238,24,142304.0014,0.607518854,62.379038,6.706669569,484659.5402
3.6061E+14,10.8584128,0,23.77083367,143697,132518,10,72542.11586,0.547413301,23.067728,3.309644223,239172.4582
3.6061E+14,12.58578809,0,24.50069077,400167,234637,33,116337.1478,0.495817573,19.085775,3.83614821,277220.4309
3.6061E+14,10.01761866,0,23.59752767,125960,133369,22,66099.05775,0.495610357,18.09757,3.053370167,220652.7347
3.6061E+14,24.19368239,7.580091354,33.37073001,506457,237022,2,95342.34313,0.402251028,78.665047,7.374234394,532901.3177
3.6061E+14,10.94585058,0,24.35596422,199629,187715,40,98140.38176,0.522815874,14.805195,3.336295258,241098.4035
3.6061E+14,12.88876063,0,25.96939206,256813,234253,46,126472.1114,0.539895376,14.387769,3.928494241,283893.8452
3.6061E+14,9.424399502,0,22.81812003,187600,134170,10,62601.41992,0.466582842,18.163029,2.872556968,207586.2133
3.6061E+14,9.927449426,0,23.13130258,223962,134760,8,66274.99403,0.491800193,33.330524,3.025886585,218666.6252
3.6061E+14,22.25652601,5.307484464,32.32916698,592348,233993,5,154616.502,0.660774049,90.488801,6.783789126,490232.6088
3.6061E+14,9.352572145,0,23.28756542,253821,202974,32,92935.0633,0.457866837,16.966299,2.85066399,206004.1105
3.6061E+14,15.22178885,0,27.17149594,150918,130904,12,59606.038,0.455341609,18.389523,4.639601242,335282.2115
3.6061E+14,9.302225017,0,23.29682585,201981,187471,42,95736.50428,0.510673674,15.4076,2.835318185,204895.1412
3.6061E+14,8.819746945,0,22.13026488,167920,188704,41,81621.42299,0.432536793,8.117745,2.688258869,194267.8544
3.6061E+14,11.72216637,0,25.54574252,330926,251534,12,144347.7273,0.573869645,56.841673,3.57291631,258197.8966
3.6061E+14,9.557211532,0,22.88831522,204982,188014,40,99022.3135,0.526675213,12.454234,2.913038075,210511.5929
3.6061E+14,11.24779242,0,24.74455629,292557,254229,31,123080.7111,0.484133247,15.429497,3.42832713,247749.115
3.6061E+14,9.173309301,0,22.63317021,171862,134237,10,68884.43026,0.513155317,20.562007,2.796024675,202055.5835
3.6061E+14,9.286647873,0,22.4159576,130545,135042,7,65693.91509,0.486470247,14.06924,2.830570272,204552.0317
3.6061E+14,8.686710308,0,22.37736531,122244,212625,26,81714.33304,0.384311972,15.145384,2.647709302,191337.5275
3.6061E+14,9.195923633,0,23.00907461,199122,200770,26,91617.2766,0.456329514,16.624354,2.802917523,202553.6973
3.6061E+14,11.90245798,0,28.07891595,177499,465543,5,180128.8029,0.386921945,19.473404,3.627869193,262169.0836
3.6061E+14,10.41514716,0,23.66465275,363137,201855,18,117211.746,0.580672988,18.868778,3.174536856,229408.8828
3.6061E+14,11.01779016,0,24.10797224,105887,146540,17,56379.39357,0.384737229,12.391303,3.358222442,242682.9782
3.6061E+14,10.51008,0,25.01028698,84693,232224,9,102602.0013,0.441823417,20.724379,3.203472385,231499.9177
3.6061E+14,10.59497968,0,23.84513786,191828,134074,17,67340.34984,0.502262555,20.75751,3.229349808,233369.9576
3.6061E+14,10.09305283,0,23.8753848,116431,131815,26,63552.39386,0.482133246,15.144232,3.076362502,222314.2829
3.6061E+14,9.43731758,0,22.91672124,179692,145511,11,60007.64439,0.412392495,16.292021,2.876494398,207870.7529
3.6061E+14,9.310595772,0,22.67483885,152669,133515,24,56297.29905,0.421655238,15.440428,2.837869591,205079.5193
3.6061E+14,9.140093478,0,22.82631496,134311,176523,36,78331.8291,0.443748572,12.124059,2.785900492,201323.9564
3.6061E+14,10.91001232,0,24.13605951,119113,196032,33,102964.4306,0.525242974,11.587028,3.325371756,240309.0132
3.6061E+14,10.29034792,0,22.47629496,48946,210198,22,90718.8679,0.431587684,11.89595,3.136498046,226659.9965
3.6061E+14,8.385226459,0,21.68945787,113592,237112,43,124339.5864,0.524391791,17.07286,2.555817025,184696.9038
3.6061E+14,10.11895518,0,24.35570278,43076,123375,1,41765.43188,0.338524271,20.722159,3.084257539,222884.8201
3.6061E+14,8.849776862,0,22.85007449,173484,143445,9,58453.25888,0.407495966,17.923689,2.697411988,194929.3073
3.6061E+14,9.040337896,0,22.44963813,119744,143850,11,60417.40731,0.420002832,13.376999,2.755494991,199126.6934
3.6061E+14,8.375155545,0,22.46150791,152800,232633,39,92824.95009,0.399018841,6.651325,2.55274741,184475.0771
3.6061E+14,8.084555573,0,23.03253818,7723,263442,3,128446.6734,0.487570977,40.727551,2.464172539,178074.1868
3.6061E+14,6.234785891,0,19.97605553,21655,196272,29,78698.82965,0.400968195,5.966163,1.90036274,137330.2982
3.6061E+14,8.064491314,0,22.21071322,236136,251410,26,115839.7274,0.460760222,21.188439,2.458056953,177632.2421
3.6061E+14,7.087144804,0,22.30336327,12453,134177,35,63277.20722,0.471595037,6.630129,2.160161736,156104.7526
3.6061E+14,9.925243317,0,23.50653385,53805,111234,9,49962.42009,0.449165004,22.514554,3.025214163,218618.0324
3.6061E+14,8.288412165,0,21.83147235,185168,255283,47,118616.049,0.464645311,14.333137,2.526308028,182564.4271
3.6061E+14,8.88772498,0,22.3038256,175190,136729,8,59002.714,0.431530356,19.064502,2.708978574,195765.1703
3.6061E+14,6.934060726,0,20.02019476,14451,135415,29,61650.63617,0.45527184,6.089004,2.113501709,152732.8514
3.6061E+14,9.212322683,0,22.73101204,213276,253140,42,111699.6521,0.441256428,14.30904,2.807915954,202914.9105
3.6061E+14,9.161248312,0,23.40279113,57059,162838,29,73771.5436,0.453036414,14.758086,2.792348485,201789.9226
3.6061E+14,8.399237495,0,20.68110226,47056,38123.4,1,13405.97458,0.351646878,25.219958,2.560087588,185005.5174
3.6061E+14,7.956241541,0,22.47689039,7900,186115,55,77075.80773,0.414130015,6.861755,2.425062422,175247.8822
3.6061E+14,10.25124851,0,25.05445055,52943,157541,13,77176.35679,0.48988109,16.352932,3.124580546,225798.7747
3.6061E+14,8.293998435,0,21.57466946,141173,251886,35,98872.27583,0.392527873,15.267247,2.528010723,182687.4728
3.6061E+14,6.901249999,0,21.40160956,21721,143624,25,63554.89364,0.442508868,7.033078,2.103501,152010.147
3.6061E+14,9.691910717,0,23.43101817,36093,112440,15,50226.56802,0.446696621,14.334933,2.954094387,213478.5399
3.6061E+14,9.497991662,0,22.5163974,42766,129993,25,62319.32841,0.479405263,15.099039,2.894987859,209207.1885
3.6061E+14,6.885075404,0,21.05840524,13757,196039,38,80885.85409,0.41260083,7.10066,2.098570983,151653.8779
3.6061E+14,7.351164039,0,21.00828415,36256,128494,22,48184.99481,0.374998014,6.877656,2.240634799,161920.1633
3.6061E+14,7.141903318,0,23.90802577,14185,266368,59,98127.60546,0.368391119,6.143428,2.176852131,157310.8891
3.6061E+14,6.39054573,0,18.53954147,71125,109113,6,45288.5233,0.415060747,12.378959,1.947838339,140761.1369
3.6061E+14,7.01164637,0,21.28532201,21913,121074,18,50999.93235,0.421229433,9.006793,2.137149813,154441.7889
3.6061E+14,7.377954031,0,21.59098025,57442,159550,23,64356.63372,0.40336342,12.474179,2.248800389,162510.2521
3.6061E+14,7.766524589,0,26.14371993,10100,138434,34,50985.72241,0.368303469,6.003356,2.367236695,171069.0882
3.6061E+14,9.085523611,0,23.97612881,52015,289470,6,169808.0624,0.586617136,28.513588,2.769267597,200121.975
3.6061E+14,8.223361246,0,21.43159913,36657,233604,21,108379.7382,0.463946414,13.145401,2.506480508,181131.5852
3.6061E+14,7.722334709,0,22.74351989,32762,126585,5,48848.91541,0.385898135,10.352237,2.353767619,170095.7413
3.6061E+14,6.838701277,0,20.91176976,12670,273102,66,105177.987,0.385123459,6.299012,2.084436149,150632.4198
3.6061E+14,6.624576273,0,20.30441177,10485,278179,42,115250.9421,0.41430497,6.037865,2.019170848,145916.0027
3.6061E+14,7.774619399,0,25.4616771,11223,273090,13,101558.0945,0.371885073,7.115828,2.369703993,171247.3883
3.6061E+14,6.444611434,0,19.64426684,3220,91092.2,14,31975.6885,0.351025538,4.579944,1.964317565,141952.0133
3.6061E+14,7.699096557,0,23.10578665,5731,138331,22,62003.03918,0.448222301,8.661615,2.34668463,169583.887
3.6061E+14,7.069088282,0,21.96158552,15375,236552,58,88368.90492,0.373570737,5.687303,2.154658108,155707.0313
3.6061E+14,8.318060686,0,23.1471887,11459,235268,7,109479.3644,0.465338951,8.449104,2.535344897,183217.4792
3.6061E+14,7.24276584,0,20.31163049,10022,234552,30,88805.69787,0.378618378,5.001766,2.207595028,159532.534
3.6061E+14,7.280749536,0,21.35771044,20010,250742,13,121807.0211,0.485786271,9.681648,2.219172459,160369.1806
3.6061E+14,7.207489096,0,21.54384046,17695,258983,27,107633.5735,0.415600922,7.432628,2.196842676,158755.512
3.6061E+14,6.563104131,0,20.03637956,36413,476905,19,203554.658,0.426824332,30.478763,2.000434139,144561.9887
3.6061E+14,6.786595351,0,20.69767094,9297,235349,66,88287.4511,0.375134167,6.636015,2.068554263,149484.7104
3.6061E+14,6.604981763,0,19.77382879,9845,233868,44,81560.1588,0.348744415,5.758051,2.013198441,145484.4049
3.6061E+14,6.652295349,0,20.58116748,6576,122463,35,43484.72751,0.355084618,5.062054,2.027619622,146526.556
3.6061E+14,7.077221953,0,21.03641905,11569,233828,29,99530.10984,0.425655225,7.665056,2.157137251,155886.1873
3.6061E+14,7.734940592,0,24.37781393,4143,252137,20,87874.84313,0.348520222,4.867769,2.357609892,170373.4044
3.6061E+14,6.23154894,0,20.73034578,14251,121672,5,52606.14605,0.43236033,10.522322,1.899376117,137258.9996
3.6061E+14,8.46835523,0,25.420093,8946,234775,39,105063.3741,0.447506651,7.982762,2.581154674,186527.9368
3.6061E+14,7.282049374,0,20.5921624,2755,85840,9,33462.3895,0.389822804,7.829609,2.219568649,160397.8114
3.6061E+14,5.429254737,0,19.69101725,17326,63413.7,1,23938.55822,0.37749821,3.782073,1.654836844,119587.2938
3.6061E+14,7.164605727,0,19.76491449,1726,153562,16,62094.39993,0.404360453,8.171182,2.183771825,157810.943
3.6061E+14,7.577127083,0,20.36727472,6231,141843,12,55322.07811,0.390023322,9.502497,2.309508335,166897.3305
3.6061E+14,7.46912388,0,21.21968897,1328,121898,12,43699.00457,0.358488282,6.804086,2.276588959,164518.4017
3.6061E+14,6.611631581,0,21.57688475,18086,126078,16,43527.90608,0.345245848,4.798203,2.015225306,145630.8769
3.6061E+14,5.957807325,0,16.58592955,1188,123354,12,50627.90401,0.410427745,7.400648,1.815939673,131229.4393
3.6061E+14,7.622043459,0,20.56487996,1741,101728,16,47643.99882,0.468346953,6.896859,2.323198846,167886.6795
3.6061E+14,7.723193586,0,21.17033563,4153,109103,10,50980.31782,0.467267791,9.171616,2.354029405,170114.6593
3.6061E+14,6.889528818,0,19.47826736,1320,110834,7,48542.28347,0.437972856,9.073844,2.099928384,151751.9709
3.6061E+14,7.420796197,0,22.43767201,2944,126945,7,59058.30268,0.465227482,7.808687,2.261858681,163453.9136
3.6061E+14,8.470486526,0,24.46565618,6992,200612,6,74435.18387,0.371040535,8.059644,2.581804293,186574.8817
3.6061E+14,7.002243493,0,20.15645295,4788,157123,18,77901.16223,0.49579732,6.650245,2.134283817,154234.6768
3.6061E+14,6.310537537,0,21.88310954,4252,227195,25,112365.7471,0.494578433,5.715851,1.923451841,138998.8392
3.6061E+14,7.806089874,0,26.70331039,1409,226169,16,90180.26292,0.398729547,7.395398,2.379296194,171940.5716
3.6061E+14,7.78509197,0,21.17620602,5047,220113,16,90852.73148,0.412754955,8.391233,2.372896033,171478.062
3.6061E+14,7.629344065,0,20.89852245,5287,140641,1,55799.5655,0.396751769,5.457572,2.325424071,168047.4861
3.6061E+14,7.051604526,0,20.8141739,15053,154304,31,72112.64153,0.467341362,9.036292,2.149329059,155321.9259
3.6061E+14,16.47992799,2.403605244,28.13414973,28518,73004.1,1,40192.87789,0.550556447,91.348803,5.02308205,362994.5701
3.6061E+14,9.014704712,0,22.73647407,12822,184926,41,88609.38793,0.479161329,9.125796,2.747681996,198562.085
3.6061E+14,22.12501799,7.419821424,30.72633181,9286,129853,5,87250.87822,0.671920389,85.899376,6.743705483,487335.952
3.6061E+14,13.67453969,2.080214375,22.60941505,14091,47716.9,6,24664.04401,0.516882782,15.839518,4.167999699,301201.7808
3.6061E+14,6.350825778,0,19.19962171,80170,128310,14,57420.64385,0.447514955,9.294369,1.935731697,139886.2468
3.6061E+14,15.37713529,1.679974134,26.20789904,52796,84893.6,14,52337.89841,0.616511709,27.442513,4.686950835,338703.9444
3.6061E+14,6.489878213,0,20.79968517,65398,137242,30,70084.11603,0.510660847,9.092192,1.978114879,142949.0805
3.6061E+14,7.193362091,0,20.11635531,27087,87453,1,35450.4819,0.405366104,13.115423,2.192536765,158444.3441
3.6061E+14,9.8052053,0,22.87127435,111004,101003,17,55548.82635,0.549972044,16.912938,2.988626575,215974.0191
3.6061E+14,8.031080257,0,21.22459954,20808,121731,23,59431.54715,0.488220315,8.204904,2.447873262,176896.3146
3.6061E+14,7.265635355,0,20.18677833,83583,203552,33,96411.74657,0.473646766,9.018832,2.214565656,160036.2686
3.6061E+14,11.76779538,0,23.26995572,15685,81346.1,3,42803.47402,0.526189627,25.613267,3.586824031,259202.9424
3.6061E+14,7.484239367,0,20.79475055,190549,106785,21,62411.49712,0.584459401,6.60957,2.281196159,164851.3424
3.6061E+14,5.66399756,0,18.7548866,229440,201433,24,85572.69482,0.424819641,9.912528,1.726386456,124757.8485
3.6061E+14,8.295356482,0,20.66586961,42582,69307.7,9,32279.53283,0.465742375,11.213013,2.528424656,182717.3858
3.6061E+14,6.981742713,0,20.03274957,225880,178469,50,88317.24612,0.49486043,8.163117,2.128035179,153783.117
3.6061E+14,9.673749876,0,22.88154823,55244,140940,29,85431.69434,0.60615648,18.716434,2.948558962,213078.5208
3.6061E+14,6.633712318,0,19.36810647,92356,196167,59,94526.71238,0.481868573,7.464012,2.021955515,146117.2375
3.6061E+14,7.620938296,0,21.18503636,29282,107490,16,45747.93,0.42560173,7.020596,2.322861992,167862.3367
3.6061E+14,6.567410471,0,20.80407118,131946,203187,43,106857.7045,0.525908176,9.560675,2.001746711,144656.8421
3.6061E+14,9.119609986,0,21.12714508,7141,56377.9,1,31561.27311,0.559816402,11.925494,2.779657124,200872.7774
3.6061E+14,7.070627041,0,21.05584199,211435,189200,37,87062.16768,0.460159449,9.160519,2.155127122,155740.9247
3.6061E+14,8.862882008,0,20.43031771,62835,62841.4,18,30846.38059,0.490860811,8.517731,2.701406436,195217.9674
3.6061E+14,8.333392193,0,21.51063758,177004,171596,30,95011.04726,0.553690338,12.625715,2.54001794,183555.1781
3.6061E+14,8.227798594,0,21.9646835,99080,146165,34,78922.98232,0.539958145,10.793067,2.507833012,181229.3243
3.6061E+14,11.54226275,0,23.70821065,143060,143990,23,88817.04654,0.616827881,16.859967,3.518081686,254235.2556
3.6061E+14,9.350451439,0,22.2597499,81740,125814,22,68513.53335,0.544562079,13.250079,2.850017599,205957.3988
3.6061E+14,13.44996744,0,25.22829927,290730,147488,18,88115.53887,0.597442089,22.046639,4.099550077,296255.2478
3.6061E+14,13.37130894,0,25.21258036,154511,114689,15,64204.42292,0.55981326,21.974077,4.075574964,294522.679
3.6061E+14,12.83589342,0,25.20929424,46086,135814,3,51840.70131,0.381703663,18.792151,3.912380315,282729.3674
3.6061E+14,7.174230916,0,21.17170742,209365,174452,33,90049.1341,0.51618287,12.536831,2.186705583,158022.9519
3.6061E+14,14.01289721,0,26.25277932,208102,130464,12,80436.65947,0.61654295,29.552002,4.271131069,308654.601
3.6061E+14,14.46456281,0,26.79728563,228272,158997,22,94334.14712,0.593307717,29.705,4.408798744,318603.1979
3.6061E+14,11.14748878,0,23.45203044,139645,124673,2,68726.70149,0.551255697,36.283739,3.397754581,245539.7804
3.6061E+14,13.24539357,0,25.76428514,171330,153507,21,92231.68341,0.600830473,22.70195,4.037195961,291749.2085
3.6061E+14,7.754720019,0,22.05022265,95041,423270,4,149863.8431,0.354062048,18.384697,2.363638662,170809.0753
3.6061E+14,10.58083777,0,23.79513596,214351,271150,35,136810.93,0.504558104,16.102526,3.225039351,233058.4611
3.6061E+14,8.45990706,0,22.53522841,241213,196808,26,96687.37785,0.491277681,15.583947,2.578579672,186341.8535
3.6061E+14,7.088541913,0,21.44904499,107026,114910,18,58522.09446,0.50928635,14.564102,2.160587575,156135.526
3.6061E+14,9.296372297,0,22.1584366,67077,125383,47,71563.79259,0.570761527,9.081169,2.833534276,204766.2264
3.6061E+14,11.30639503,0,24.64512859,200335,131106,19,71227.42961,0.543281235,25.293655,3.446189205,249039.9234
3.6061E+14,8.144723545,0,21.76364059,87137,95567.4,1,54300.97913,0.568195631,32.162317,2.482511736,179399.4746
3.6061E+14,8.380995068,0,21.63133217,229098,184078,28,77790.61281,0.422595926,15.90354,2.554527297,184603.7012
3.6061E+14,7.058938856,0,21.02546862,79984,87594.3,23,42388.46615,0.483918088,7.811937,2.151564563,155483.4753
3.6061E+14,14.84244903,0,26.93593946,175905,140618,3,81747.15853,0.581342065,28.845192,4.523978465,326926.6959
3.6061E+14,6.991074411,0,22.88157275,15161,56492.2,8,23748.76904,0.420390232,12.03533,2.13087948,153988.6614
3.6061E+14,19.73272571,2.407395503,31.15163981,550209,273781,15,170344.2061,0.622191482,130.38947,6.014534796,434642.2079
3.6061E+14,7.559447221,0,20.99805059,96525,143944,21,73990.18486,0.514020625,10.960072,2.304119513,166507.9056
3.6061E+14,11.57848827,0,25.08166633,102458,70619.1,20,36233.59219,0.513084876,7.261944,3.529123224,255033.1758
